"1","2","3","4","5","6"
"라트비아","여자","60~64세",57.72143,60.26069,4.2138
"라트비아","여자","65~69세",26.14722,26.28521,0.52496
"라트비아","여자","65세 이상",9.17763,9.21296,0.38347
"라트비아","여자","총계",52.6597,55.68189,5.42761
"라트비아","개인 전체","15~19세",8.12286,10.36188,21.6083
"라트비아","개인 전체","15~24세",31.77967,36.28714,12.42166
"라트비아","개인 전체","15~64세",72.28609,77.31339,6.50249
"라트비아","개인 전체","20~24세",56.87506,63.78891,10.83864
"라트비아","개인 전체","25~29세",81.35973,87.81567,7.35169
"라트비아","개인 전체","25~34세",81.92001,87.74282,6.63623
"라트비아","개인 전체","25~54세",83.10338,88.33864,5.92636
"라트비아","개인 전체","25~64세",79.00918,84.12276,6.07871
"라트비아","개인 전체","30~34세",82.40141,87.68023,6.02053
"라트비아","개인 전체","35~39세",85.27785,89.99981,5.24663
"라트비아","개인 전체","35~44세",85.05703,90.0268,5.52033
"라트비아","개인 전체","40~44세",84.82881,90.05469,5.80301
"라트비아","개인 전체","45~49세",83.98734,89.06839,5.70466
"라트비아","개인 전체","45~54세",82.35994,87.27621,5.633
"라트비아","개인 전체","50~54세",80.68213,85.42851,5.55597
"라트비아","개인 전체","55~59세",76.19439,82.07645,7.16656
"라트비아","개인 전체","55~64세",67.34011,72.10686,6.61068
"라트비아","개인 전체","60~64세",57.91233,61.49154,5.82065
"라트비아","개인 전체","65~69세",26.89506,27.54665,2.36539
"라트비아","개인 전체","65세 이상",10.38374,10.58881,1.93667
"라트비아","개인 전체","총계",57.36322,61.22801,6.31214
"러시아","남자","15~19세",5.99343,7.74807,22.64612
"러시아","남자","15~24세",31.08865,36.61269,15.08778
"러시아","남자","15~64세",75.86529,79.68141,4.78923
"러시아","남자","20~24세",54.4471,63.47968,14.22909
"러시아","남자","25~29세",90.27472,95.32965,5.30258
"러시아","남자","25~34세",91.11175,95.50226,4.59729
"러시아","남자","25~54세",90.47564,94.35167,4.10807
"러시아","남자","25~64세",83.83807,87.35009,4.02062
"러시아","남자","30~34세",91.85168,95.65485,3.97592
"러시아","남자","35~39세",91.85366,95.36807,3.6851
"러시아","남자","35~44세",91.4581,94.96114,3.68892
"러시아","남자","40~44세",91.01585,94.50619,3.69324
"러시아","남자","45~49세",90.12554,93.61967,3.73225
"러시아","남자","45~54세",88.4331,92.05924,3.93893
"러시아","남자","50~54세",86.66161,90.42595,4.16289
"러시아","남자","55~59세",77.24742,80.45574,3.98768
"러시아","남자","55~64세",60.43169,62.66008,3.5563
"러시아","남자","60~64세",40.06125,41.10254,2.5334
"러시아","남자","총계",67.26639,70.62958,4.76173
"러시아","여자","15~19세",4.24919,5.8698,27.60931
"러시아","여자","15~24세",24.93961,29.66093,15.91766
